analise_dimensional,similaridade_semantica,classificacao,detalhes_criticos,justificativa_final,repo,file1,file2
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",80,Redundantes,"{'redundancias': ['Comandos de validação de endpoints e autorização', 'Métodos de atualização dos dados'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para evitar redundância em regras'}","O Arquivo B apresenta algumas regras repetidas do Arquivo A, mas ainda possui elementos únicos que justificam sua manutenção como arquivo independente.",countly/countly-server,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.4, 'risco_de_conflito': 0.1}",60,Redundantes,"{'redundancias': [['Comandos técnicos repetidos ou contraditórios'], ['Repetição exata de instruções']], 'conflitos': [], 'valor_agregado': 'O Arquivo B é mais eficiente em termos de produtividade, mas o Arquivo A mantém um fluxo mais rápido.'}","Os dois arquivos são semelhantes, com uma grande quantidade de repetição em instruções técnicas. O Arquivo B é mais especializado e eficiente, enquanto o Arquivo A manteve-se mais focado no fluxo, sem perder a eficiência.",koenkk/zigbee2mqtt,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.5, 'risco_de_conflito': 0.1}",70,Redundantes,"{'redundancias': ['A seção de como usar o software'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para garantir a clareza e precisão das instruções.'}","Os dois arquivos possuem uma grande semelhança em suas regras e instruções, o que sugere que podem ser reduzidos à única versão.",remotion-dev/remotion,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.9, 'especializacao': 0.1, 'risco_de_conflito': 0.05}",80,Redundantes,"{'redundancias': ['Uso excessivo de comandos semelhantes em ambos os arquivos', 'Repetição exata de instruções em ambos os arquivos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm instruções muito semelhantes, mas com algumas diferenças sutis que tornam redundante manter ambos separados.'}","Apenas uma pequena porcentagem das regras se repetem em ambos os arquivos, e não há conflitos óbvios entre as instruções. Entretanto, o uso excessivo de comandos semelhantes sugere que manter ambos separados poderia ser útil.",remotion-dev/remotion,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['documentação de pacotes'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos contêm informações únicas que podem ser úteis para o modelo, mas é recomendável manter separados para evitar sobrecarga cognitiva.'}","O arquivo A e B têm objetivos diferentes, com o A focando em um workflow específico e o B focando em documentação de pacotes. Embora haja algumas repetições, os dois arquivos contêm informações únicas que podem ser úteis para o modelo.",remotion-dev/remotion,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.2}",80,Complementares,"{'redundancias': ['comandos técnicos repetidos'], 'conflitos': [], 'valor_agregado': 'Vale a pena manter os dois arquivos separados, pois há uma boa relação entre as regras e especialização.'}","Os arquivos A e B compartilham um bom equilíbrio de regras e especialização, mas existem algumas repetições. Isso se deve ao fato de que ambos são orientações para desenvolvedores, o que significa que há uma boa relação entre as instruções.",firoorg/firo,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.05, 'especializacao': 0.85, 'risco_de_conflito': 0.1}",60,Complementares,"{'redundancias': ['Repetição de instruções relacionadas a configuração de Vite'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para evitar conflitos e melhorar reutilização.'}","Os dois arquivos apresentam algumas instruções comuns, mas com destaque à importância de manter cada arquivo separado para evitar conflitos e melhorar a reutilização.",bagisto/bagisto,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.01, 'especializacao': 0.99, 'risco_de_conflito': 0.001}",80,Conflitantes,"{'redundancias': ['Instruções semelhantes em ambos os arquivos', 'Comandos técnicos repetidos'], 'conflitos': ['Intrução para usar sempre o Python, mas instrução específica para usar PHP'], 'valor_agregado': 'A existência de conflitos e redundância sugere que os dois arquivos podem ser combinados com algumas ajustes.'}","Os dois arquivos apresentam um alto nível de redundância, mas também possuem instruções únicas que justificam a manutenção separada.",bagisto/bagisto,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.05, 'risco_de_conflito': 0.1}",40,Redundantes,"{'redundancias': ['uso excessivo de instruções repetidas'], 'conflitos': [], 'valor_agregado': 'Se valer a pena manter apenas um arquivo para manter a consistência.'}","Os dois arquivos apresentam uma grande coincidência nas regras e instruções, o que sugere que apenas um deles é necessário. O uso excessivo de instruções repetidas não contribui positivamente com a especialização dos arquivos.",bagisto/bagisto,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.0, 'especializacao': 0.0, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': [""comandos que repetem instruções semelhantes, como 'build'""], 'conflitos': [], 'valor_agregado': 'Embora os arquivos tenham algumas coincidências, eles oferecem diferentes abordagens e são úteis para o desenvolvedor.'}","Os dois arquivos têm objetivos específicos, mas compartilham alguns aspectos semelhantes. Manter ambos arquivos é recomendável para um desenvolvimento mais eficiente.",linq2db/linq2db,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.4, 'risco_de_conflito': 0.1}",70,Redundantes,"{'redundancias': ['Falta de especialização em desenvolvimento de software'], 'conflitos': [], 'valor_agregado': 'Pode ser reduzido com a implementação de melhorias e atualizações regulares'}",Os dois arquivos apresentam uma grande quantidade de repetição das regras e são redundantes.,mantidproject/mantid,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",75,Complementares,"{'redundancias': ['lista de tópicos que aparecem em ambos desnecessariamente'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos apresentam elementos únicos, mas os tópicos repetidos não é fundamental para a manutenção dos arquivos.'}",Resumo técnico de 2 frases.,fastled/fastled,CLAUDE.md,CURSOR
"{'overlap_de_regras': 0.75, 'especializacao': 0.25, 'risco_de_conflito': 0.5}",90,Redundantes,"{'redundancias': [['Mensagens de sucesso e falha', 'Efeitos de middleware'], ['Estilo de codificação ( RuboCop )']], 'conflitos': [], 'valor_agregado': 'Os arquivos apresentam redundantades significativas, mas não há conflitos flagrantes'}",Ambos os arquivos contêm instruções repetidas e semelhantes que podem ser combinadas para evitar a redundância e melhorar a eficiência.,lostisland/faraday,CURSOR,COPILOT
"{'overlap_de_regras': 0.3, 'especializacao': 0.7, 'risco_de_conflito': 0.1}",80,Conflitantes | Independentes,"{'redundancias': ['lista de tópicos que aparecem em ambos desnecessariamente'], 'conflitos': ['lista de instruções que se contradizem, se houver'], 'valor_agregado': 'Explicação se vale a pena manter os dois arquivos separados.'}","Os arquivos têm poucas redundancias e conflitos. A análise dimensional revelou uma boa especialização nos dois arquivos, o que sugere que eles podem ser mantidos como independentes.",erxes/erxes,AGENTS.md,CURSOR
"{'overlap_de_regras': 0.1, 'especializacao': 0.8, 'risco_de_conflito': 0.05}",60,Complementares,"{'redundancias': ['uso excessivo de comandos técnicos repetitivos'], 'conflitos': [], 'valor_agregado': 'É fundamental manter o Arquivo B, pois ele oferece uma visão mais completa do fluxo de trabalho.'}","O Arquivo B possui um alto valor agregado, já que fornece uma visão mais abrangente do workflow, minimizando a redundância e maximizando a especialização.",erxes/erxes,CLAUDE.md,CURSOR
"{'overlap_de_regras': 0.7, 'especializacao': 0.1, 'risco_de_conflito': 0.4}",70,Redundantes,"{'redundancias': ['Múltiplos comandos técnicos se repetem ou contradizem'], 'conflitos': ['Nenhuma instrução contraditória identificada'], 'valor_agregado': 'É recomendável manter o arquivo B como um complemento do A, focando em um novo workflow'}","O arquivo B parece ser um complemento do Arquivo A, com algumas regras técnicas repetidas ou contraditórias. É recomendável mantê-lo separado para evitar conflitos e aproveitar a especialização do seu conteúdo.",runatlantis/atlantis,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': ['uso de instruções gerais semelhantes'], 'conflitos': [], 'valor_agregado': 'Mantenha ambos arquivos, pois eles têm objetivos diferentes.'}","Os dois arquivos têm objetivos diferentes e não há instruções contraditórias, portanto, manter os dois arquivos é recomendável.",slick/slick,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.0, 'risco_de_conflito': 0.5}",80,Redundantes,"{'redundancias': ['Muitos comandos técnicos se repetem ou contradizem'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados por motivos de redundância e regras contraditórias'}","O arquivo B parece ser uma cópia semelhante do A, repetindo comandos técnicos e regras.",facebook/lexical,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.3}",85,Complementares,"{'redundancias': ['uso de estruturas repetidas'], 'conflitos': [], 'valor_agregado': 'O Arquivo B oferece uma abordagem complementar ao workflow do Arquivo A.'}","Os dois arquivos apresentam algumas redundâncias, mas o Arquivo B contribui significativamente com novas funcionalidades.",ddev/ddev,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.8, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",80,Redundantes,"{'redundancias': ['estruturas semelhantes', 'comandos repetidos'], 'conflitos': [], 'valor_agregado': 'O Arquivo A é um guia para agentes, enquanto o B fornece instruções específicas para código em diferentes subdiretórios.'}","Os dois arquivos têm uma grande quantidade de estruturas e comandos semelhantes, mas o Arquivo A é mais genérico e o B mais específico.",tuist/tuist,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.2}",80,Complementares,"{'redundancias': ['comandos técnicos que se repetem ou se contradizem'], 'conflitos': [], 'valor_agregado': 'Pode ser útil manter os dois arquivos separados para fins de manutenção e entendimento, mas também há valor na agregação de conhecimentos.'}","Os dois arquivos apresentam uma boa semelhança em termos de regras e especialização, com a possibilidade de conflitos em alguns casos.",kornia/kornia,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.7, 'risco_de_conflito': 0.1}",80,Redundantes | Complementares,"{'redundancias': ['ações repetidas'], 'conflitos': ['não há conflitos'], 'valor_agregado': 'Vale a pena manter os dois arquivos separados para evitar confusões.'}","Ambos os arquivos são úteis, mas podem ser reduzidos à mesma base sem comprometer o desempenho.",auth0/node-auth0,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.8, 'risco_de_conflito': 0.05}",70,Complementares,"{'redundancias': ['repetição de instruções relacionadas ao uso de Python'], 'conflitos': [], 'valor_agregado': 'Mantenha os dois arquivos separados para evitar conflitos de instrução.'}","Os dois arquivos apresentam uma boa semelhança na execução de tarefas relacionadas a Python, mas o Arquivo A apresenta regras mais especializadas e o B é mais genérico, tornando redundantes alguns comandos.",MultiQC/MultiQC,CLAUDE.md,CURSOR
"{'overlap_de_regras': 0.2, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': ['uso de instruções similares para diferentes contextos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm objetivos distintos, mas compartilham algumas instruções que podem ser otimizadas.'}","A existência de instruções semelhantes em ambos os arquivos sugere a possibilidade de otimização, mas a falta de conflitos significativos justifica manter os dois arquivos separados para manter a especialização e o controle do fluxo de trabalho.",open-telemetry/opentelemetry-java-instrumentation,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.3}",85,Complementares,"{'redundancias': ['instruções técnicas repetidas sem justificativa'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos apresentam regras comuns, mas cada um possui detalhes únicos.'}",Ambos os arquivos são parte do desenvolvimento de dotCMS e apresentam pontos semelhantes.,dotcms/core,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.1, 'risco_de_conflito': 0.1}",70,Redundantes | Complementares,"{'redundancias': ['comandos repetidos', 'parâmetros semelhantes'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos podem ser mantidos separados, pois as regras não são todas iguais.'}","O Arquivo B apresenta uma estrutura muito similar ao Arquivo A, com muitas repetições de comandos e parâmetros. Embora ambos sejam úteis, a presença de conflitos entre as regras não é suficiente para justificar a manutenção dos dois arquivos.",k8sgateway/k8sgateway,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",80,Redundantes,"{'redundancias': ['repetição de instruções relacionadas a configuração do build'], 'conflitos': [], 'valor_agregado': 'A existência de ambos arquivos pode causar sobrecarga cognitiva, mas ainda assim é útil para manter uma referência única e completa da documentação.'}","Os dois arquivos apresentam algumas redundâncias, mas o arquivo B contém instruções detalhadas que ajudam a compreender melhor o fluxo de execução, além de serem úteis para desenvolvedores que trabalham com Langflow.",langflow-ai/langflow,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.1, 'especializacao': 0.9, 'risco_de_conflito': 0.05}",85,Complementares,"{'redundancias': ['Repetição de instruções relacionadas a serialização', 'Rotação semelhante para os dois arquivos'], 'conflitos': [], 'valor_agregado': 'O valor agregado é manter o Arquivo B como complemento ao Arquivo A.'}","Os dois arquivos possuem instruções técnicas com objetivos distintos, sendo que o Arquivo A se concentra em serialização e o Arquivo B aborda a rotulação de dados.",restsharp/restsharp,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.8, 'risco_de_conflito': 0.05}",70,Complementares,"{'redundancias': [], 'conflitos': ['Seus arquivos A e B não seguem o mesmo fluxo de trabalho.'], 'valor_agregado': 'Os dois arquivos são úteis e complementares, mas poderiam ser combinados para otimizar o fluxo de trabalho.'}","Apesar de pequenas redundâncias, os dois arquivos apresentam um alto nível de especialização e complementaridade. Com ajustes menores, podem ser integrados para melhorar a eficiência do fluxo de trabalho.",iTwin/itwinjs-core,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.7, 'risco_de_conflito': 0.3}",70,Complementares,"{'redundancias': ['uso excessivo de instruções semelhantes'], 'conflitos': [], 'valor_agregado': 'Ambos os arquivos contêm instruções únicas e importantes, mas algumas podem ser reduzidas ou reorganizadas para melhorar a eficiência.'}","Os dois arquivos apresentam uma boa complementariedade em termos de funcionalidade e estrutura, com alguns elementos repetidos que podem ser otimizados.",sebastienros/jint,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.3}",80,Complementares,"{'redundancias': ['uso excessivo de comentários', 'comandos de instalação repetidos'], 'conflitos': ['inclusão de código desnecessário em um arquivo', 'repetição de instruções sem justificativa'], 'valor_agregado': 'A inclusão dos dois arquivos pode ser benéfica para o desenvolvimento do projeto, mas é importante garantir que as instruções não sejam contraditórias.'}","O Arquivo B apresenta algumas melhorias em relação ao Arquivo A, como a simplificação de instruções e a exclusão de código desnecessário, o que contribui para uma maior eficiência no desenvolvimento do projeto.",open-metadata/openmetadata,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.8, 'risco_de_conflito': 0.2}",60,Complementares,"{'redundancias': ['lista de tópicos que aparecem em ambos desnecessariamente'], 'conflitos': [], 'valor_agregado': 'Explicação se vale a pena manter os dois arquivos separados.'}",Resumo técnico de 2 frases.,open-metadata/openmetadata,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.23, 'especializacao': 0.57, 'risco_de_conflito': 0.1}",72,Complementares,"{'redundancias': [""repetição exata do comando 'tdd' em ambos os arquivos""], 'conflitos': ['nenhum conflito encontrado'], 'valor_agregado': 'O Arquivo B tem um foco mais específico e complementar em relação ao Arquivo A.'}","Embora haja algumas repetições, os arquivos são únicos em suas abordagens e focos. O Arquivo B oferece uma visão complementar do workflow GROWI.",weseek/growi,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.1, 'especializacao': 0.7, 'risco_de_conflito': 0.5}",80,Complementares,"{'redundancias': ['repetição de instruções sobre a importância da documentação'], 'conflitos': [], 'valor_agregado': 'Os arquivos têm um propósito específico, mas compartilham algumas diretrizes gerais que podem ser úteis para ambos'}","A análise revelou que os dois arquivos têm algumas diretrizes semelhantes, mas também apresentam pontos de especialização. É recomendável manter os arquivos separados para evitar conflitos e aproveitar a especialização de cada um.",open-telemetry/opentelemetry-go,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.3, 'risco_de_conflito': 0.1}",80,Conflitantes,"{'redundancias': ['uso repetido de instruções', 'comandos técnicos que se repetem ou se contradizem'], 'conflitos': [""comando 'set_config' que muda a região do Lora, usado em ambos arquivos""], 'valor_agregado': 'Os dois arquivos têm regras e instruções que se contradizem, tornando a manutenção separada dos dois valores.'}","Os dois arquivos apresentam uma grande quantidade de coincidência em suas regras e instruções, o que sugere que podem ser reduzidos sem perder a essencialidade dos comandos técnicos presentes.",meshtastic/firmware,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['configurações de ambiente', 'métodos de processamento'], 'conflitos': [], 'valor_agregado': 'Não é necessário manter os dois arquivos separados, pois ambas as configurações estão relacionadas ao mesmo fluxo de trabalho.'}",Os dois arquivos apresentam algumas semelhanças e diferenças claras que justificam a manutenção dos dois arquivos separados.,kgateway-dev/kgateway,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.05, 'especializacao': 0.95, 'risco_de_conflito': 0.01}",60,Complementares | Independentes,"{'redundancias': ['Manutenção de um arquivo de contexto separado para agregações específicas'], 'conflitos': [], 'valor_agregado': 'O valor agregado é manter os dois arquivos separados para agregações específicas.'}","O Arquivo A e o B têm regras e restrições similares, mas com focos diferentes. Manter os dois arquivos separados permite agregações específicas sem conflitos.",elsa-workflows/elsa-core,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.7, 'especializacao': 0.3, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': ['Repetição de instruções relacionadas a nuget e build'], 'conflitos': [], 'valor_agregado': 'O arquivo B não adiciona valor exclusivo, mas complementa o contexto do A.'}","Os dois arquivos apresentam uma boa similitude em suas regras e instruções, com apenas 30% de especialização. O Arquivo B oferece um foco específico no desenvolvimento de workflows, mas sem valor exclusivo que justifique sua existência separada.",elsa-workflows/elsa-core,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.02, 'especializacao': 0.78, 'risco_de_conflito': 0.1}",85,Redundantes | Complementares,"{'redundancias': ['Exemplos específicos de regras repetidas sem significado', 'Repetição de instruções técnicas sem importância'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter separados os dois arquivos, pois há muito conteúdo redundante.'}","Os arquivos apresentam uma repetição excessiva de instruções técnicas sem valor agregado, destacando a necessidade de um tratamento separado para cada arquivo.",elsa-workflows/elsa-core,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.0, 'especializacao': 1.0, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': ['não há'], 'conflitos': [], 'valor_agregado': 'Valerá a pena manter os dois arquivos separados devido à especialização em áreas específicas.'}","Os dois arquivos apresentam abordagens diferentes para o desenvolvimento de sistemas de IA, com um foco mais amplo em agentes e outro em copiloto. A similitude é limitada às regras gerais, enquanto a especialização é maior.",igniteui/igniteui-angular,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.3, 'especializacao': 0.7, 'risco_de_conflito': 0.05}",80,Complementares,"{'redundancias': ['código relacionado a tipos de dados', 'instruções de build'], 'conflitos': [], 'valor_agregado': 'Valente manter os dois arquivos separados, pois o primeiro oferece orientação mais completa.'}",Ambos os arquivos trabalham em conjunto para fornecer uma melhor experiência ao usuário.,vitest-dev/vitest,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.1, 'risco_de_conflito': 0.9}",85,Redundantes | Complementares,"{'redundancias': ['estruturas e instruções relacionadas ao uso de copilot'], 'conflitos': [""ordenamentos em contradição, como 'sempre use Python' em ambos os arquivos""], 'valor_agregado': 'Os dois arquivos apresentam estruturas semelhantes, mas diferentes na natureza de suas instruções. Manter separados pode ajudar a evitar conflitos e melhorar a eficiência.'}","O arquivo B parece ser uma versão mais específica do papel descrito no Arquivo A, focando em estruturas de trabalho semelhantes com maior ênfase na especialização. Com isso, o valor agregado da manutenção dos dois arquivos separados é reforçado.",bbc/simorgh,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",65,Complementares,"{'redundancias': ['uso excessivo de instruções semelhantes'], 'conflitos': ['nenhum conflito identificado'], 'valor_agregado': 'Os dois arquivos têm objetivos e técnicas diferentes.'}",Ambos os arquivos apresentam aspectos únicos que justificam a manutenção separada de cada um.,gui-cs/terminal.gui,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.5, 'especializacao': 0.7, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['uso de comando repetido sem justificativa'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm regras e instruções complementares, mas há redundância em alguns casos.'}","Os dois arquivos apresentam regras e instruções que são complementares, mas há uma certa redundância em alguns comandos. É recomendável manter os dois arquivos separados para evitar conflitos e melhorar a precisão do modelo.",gui-cs/terminal.gui,AGENTS.md,CURSOR
"{'overlap_de_regras': 0.1, 'especializacao': 0.8, 'risco_de_conflito': 0.01}",85,Complementares,"{'redundancias': ['uso excessivo de instruções similares'], 'conflitos': [], 'valor_agregado': 'A existência de um arquivo que fornece orientações específicas complementar às instruções do outro arquivo pode ser útil, mas também deve ser considerada a possibilidade de sobrecarga cognitiva.'}","O Arquivo B oferece uma abordagem mais detalhada e especializada que o Arquivo A, mas é importante garantir que as instruções sejam usadas de forma eficaz e evitar conflitos.",gui-cs/terminal.gui,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",70,Redundantes,"{'redundancias': ['sempre use C#', 'uso de espacamento', 'repetição das instruções', 'manter os dois arquivos'], 'conflitos': [], 'valor_agregado': 'O arquivo B apresenta regras e restrições repetidas do Arquivo A, o que sugere que o valor agregado é manter os dois arquivos separados.'}","Os arquivos apresentam uma grande similitude em termos de regras e restrições, mas a redundância das instruções no Arquivo B sugere que manter ambos arquivos pode ser desnecessário.",gui-cs/terminal.gui,CLAUDE.md,CURSOR
"{'overlap_de_regras': 0.8, 'especializacao': 0.4, 'risco_de_conflito': 0.1}",80,Conflitantes,"{'redundancias': ['comandos repetidos'], 'conflitos': ['comandos técnicos que se contradizem'], 'valor_agregado': 'Não vale a pena manter os dois arquivos separados, pois há muitas instruções que se repetem ou são contraditórias.'}","Os dois arquivos apresentam uma grande semelhança em termos de regras e estrutura, mas com algumas instruções que se repetem ou contradizem. Isso pode causar problemas de execução e manutenção.",gui-cs/terminal.gui,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.3, 'risco_de_conflito': 0.1}",80,Redundantes,"{'redundancias': ['Comandos repetidos e técnicos semelhantes'], 'conflitos': [], 'valor_agregado': 'Embora haja algumas repetições, o arquivo B tem um foco mais amplamente abrangente.'}",O arquivo B apresenta uma maior abordagem e regras mais específicas do que o Arquivo A.,gui-cs/terminal.gui,CURSOR,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",70,Redundantes,"{'redundancias': ['ações repetidas para gerar código ou entender o sistema'], 'conflitos': [], 'valor_agregado': 'Os arquivos têm funcionalidades distintas, mas ambas são úteis.'}","Os arquivos apresentam regras e restrições semelhantes, mas com diferentes escopos de atuação. As repetições sugerem que o arquivo B não é essencial para a funcionalidade única do sistema descrita no Arquivo A.",louislam/uptime-kuma,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.25, 'risco_de_conflito': 0.1}",70,Redundantes,"{'redundancias': ['Aplicação de regras específicas em workflows diferentes'], 'conflitos': [], 'valor_agregado': 'O arquivo B pode ser considerado desnecessário para o fluxo de trabalho principal, mas mantê-lo para casos de exceção.'}","Os arquivos têm uma boa semelhança em termos de regras e políticas, mas apresentam algumas redundâncias que poderiam ser eliminadas. A classificação é 'Redundantes' pois o arquivo B parece ter várias instruções repetidas ou desnecessárias.",fossasia/eventyay-tickets,CLAUDE.md,CURSOR
"{'overlap_de_regras': 0.8, 'especializacao': 0.05, 'risco_de_conflito': 0.1}",85,Redundantes | Complementares,"{'redundancias': ['Regra de reutilização de instruções em ambos os arquivos', 'Falta de especificação de linguagem específica'], 'conflitos': [], 'valor_agregado': 'Embora existam algumas redundâncias, a existência dos dois arquivos permite uma abordagem mais flexível e adaptável às necessidades do projeto.'}","Os dois arquivos apresentam algumas redundâncias e conflitos de instrução, mas também oferecem vantagens em termos de flexibilidade e adaptação às necessidades do projeto.",fossasia/eventyay-tickets,CURSOR,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",70,Redundantes | Complementares,"{'redundancias': [""comandos 'npm start', 'npm test' se repetem em ambos""], 'conflitos': [], 'valor_agregado': 'Os arquivos têm regras técnicas similares, mas a segunda apresenta um foco específico na gestão de comandos.'}","Ambos os arquivos têm regras técnicas semelhantes, mas o segundo é mais flexível em relação às comandos",naver/billboard.js,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.2}",70,Conflitantes,"{'redundancias': ['repetição de instruções relacionadas à instalação do software'], 'conflitos': ['contradição entre a ordem de build em CLAUDE.md e COPILOT'], 'valor_agregado': 'É recomendável manter os dois arquivos separados para evitar conflitos.'}","O Arquivo B apresenta uma maior quantidade de regras específicas, mas há uma contradição significativa entre as instruções de build no Arquivo A e o Arquivo B.",facontidavide/plotjuggler,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.9, 'risco_de_conflito': 0.05}",70,Complementares,"{'redundancias': ['Repetição de instruções relacionadas a testes e depuraÜlho'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para evitar conflitos e melhorar a especialização.'}","Os dois arquivos apresentam uma boa semelhanÅa em termos de estrutura e uso, mas com algumas diferenÊs significativas que justificam a manutenÇão separada.",framer/motion,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.3}",80,Complementares | Independentes,"{'redundancias': [""A repetição de instruções como 'use Python'"", 'a existência de comandos semelhantes em ambos os arquivos'], 'conflitos': ['nenhum conflito identificado'], 'valor_agregado': 'Embora haja algumas redundâncias e semelhanças, cada arquivo possui instruções únicas que agregam valor ao modelo.'}","Os arquivos têm objetivos diferentes, mas há uma boa compatibilidade entre eles. Manter os dois arquivos separados pode ser benéfico para a especialização do modelo.",framer/motion,AGENTS.md,CURSOR
"{'overlap_de_regras': 0.8, 'especializacao': 0.2, 'risco_de_conflito': 0.5}",80,Redundantes,"{'redundancias': ['uso excessivo de instruções repetitivas'], 'conflitos': [""comando 'always use Python' se contradiz com 'não use comentários'""], 'valor_agregado': 'Os arquivos têm valores agregados para reduzir o desperdício, mas ainda mantêm uma certa redundância'}",Ambos os arquivos apresentam um alto nível de similaridade semântica e técnicas repetitivas que podem ser otimizadas.,framer/motion,CLAUDE.md,CURSOR
